config,month,trade_count,net_pnl,win_rate_pct,avg_pnl_per_trade
NO_GOVERNANCE,2025-01,360,-265.88,40.0,-0.7386
NO_GOVERNANCE,2025-02,351,-602.26,39.6,-1.7158
NO_GOVERNANCE,2025-03,365,127.71,44.11,0.3499
NO_GOVERNANCE,2025-04,345,980.36,48.99,2.8416
NO_GOVERNANCE,2025-05,370,-1736.96,43.24,-4.6945
NO_GOVERNANCE,2025-06,341,136.39,47.21,0.4
NO_GOVERNANCE,2025-07,393,-765.54,45.04,-1.9479
NO_GOVERNANCE,2025-08,354,-1405.01,35.03,-3.969
NO_GOVERNANCE,2025-09,365,-368.44,44.66,-1.0094
NO_GOVERNANCE,2025-10,391,-563.62,54.99,-1.4415
NO_GOVERNANCE,2025-11,344,-175.98,50.58,-0.5116
NO_GOVERNANCE,2025-12,365,-684.09,39.73,-1.8742
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-01,202,568.83,58.91,2.816
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-02,169,557.37,64.5,3.298
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-03,166,655.24,60.84,3.9472
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-04,152,1680.11,64.47,11.0534
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-05,197,1609.6,74.11,8.1705
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-06,138,622.27,76.09,4.5092
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-07,228,868.68,61.4,3.81
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-08,141,387.38,53.9,2.7473
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-09,193,902.43,73.06,4.6758
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-10,194,2800.92,86.6,14.4377
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-11,135,764.55,69.63,5.6633
SPRINT_9_9_3_2_PROP_FIRM_STRICT,2025-12,118,1333.13,81.36,11.2978
SPRINT_9_9_3_3_RETAIL_SAFE,2025-01,243,787.33,64.61,3.24
SPRINT_9_9_3_3_RETAIL_SAFE,2025-02,190,830.15,73.16,4.3692
SPRINT_9_9_3_3_RETAIL_SAFE,2025-03,200,676.22,55.5,3.3811
SPRINT_9_9_3_3_RETAIL_SAFE,2025-04,175,2243.7,72.0,12.8211
SPRINT_9_9_3_3_RETAIL_SAFE,2025-05,210,1729.39,68.1,8.2352
SPRINT_9_9_3_3_RETAIL_SAFE,2025-06,155,921.32,69.68,5.944
SPRINT_9_9_3_3_RETAIL_SAFE,2025-07,248,958.6,61.69,3.8653
SPRINT_9_9_3_3_RETAIL_SAFE,2025-08,176,696.73,61.36,3.9587
SPRINT_9_9_3_3_RETAIL_SAFE,2025-09,222,1629.3,76.13,7.3392
SPRINT_9_9_3_3_RETAIL_SAFE,2025-10,222,3609.63,85.14,16.2596
SPRINT_9_9_3_3_RETAIL_SAFE,2025-11,164,1552.01,75.61,9.4635
SPRINT_9_9_3_3_RETAIL_SAFE,2025-12,160,1488.89,69.38,9.3056
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-01,202,575.29,59.41,2.848
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-02,177,667.7,67.8,3.7723
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-03,177,600.66,60.45,3.3936
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-04,160,1786.02,70.0,11.1626
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-05,197,1615.35,74.11,8.1998
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-06,141,594.68,70.92,4.2176
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-07,228,859.46,60.53,3.7696
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-08,141,399.24,53.9,2.8315
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-09,204,1071.33,74.51,5.2516
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-10,199,2530.43,84.92,12.7157
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-11,139,651.5,67.63,4.6871
SPRINT_9_9_3_3_PROP_FIRM_STRICT,2025-12,127,1378.52,78.74,10.8545
SPRINT_9_9_3_3_INSTITUTIONAL,2025-01,191,359.15,58.12,1.8804
SPRINT_9_9_3_3_INSTITUTIONAL,2025-02,158,401.12,60.13,2.5387
SPRINT_9_9_3_3_INSTITUTIONAL,2025-03,162,479.16,56.17,2.9578
SPRINT_9_9_3_3_INSTITUTIONAL,2025-04,151,1566.21,78.15,10.3722
SPRINT_9_9_3_3_INSTITUTIONAL,2025-05,178,1352.24,75.84,7.5969
SPRINT_9_9_3_3_INSTITUTIONAL,2025-06,122,609.49,63.93,4.9959
SPRINT_9_9_3_3_INSTITUTIONAL,2025-07,200,738.89,65.0,3.6944
SPRINT_9_9_3_3_INSTITUTIONAL,2025-08,133,286.19,59.4,2.1518
SPRINT_9_9_3_3_INSTITUTIONAL,2025-09,185,801.14,72.43,4.3305
SPRINT_9_9_3_3_INSTITUTIONAL,2025-10,195,2041.46,83.08,10.469
SPRINT_9_9_3_3_INSTITUTIONAL,2025-11,123,737.77,67.48,5.9981
SPRINT_9_9_3_3_INSTITUTIONAL,2025-12,107,778.53,65.42,7.276
