source,config,net_pnl,trade_count,win_rate_pct,profit_factor,max_dd_usd,max_dd_pct,sharpe,profit_pct,target_achieved,rule_breach
canonical,NO_GOVERNANCE,-9563.72,5252,36.81,0.6286,2073.73,20.6,-5.8338,-95.64,False,True
canonical,SPRINT_9_9_3_2_PROP_FIRM_STRICT,3894.21,1273,64.57,4.8893,67.05,0.66,5.9208,38.94,True,False
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,5516.56,1688,64.46,4.3839,62.58,0.52,6.3707,55.17,True,False
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,3936.08,1309,65.47,5.138,67.05,0.66,6.0741,39.36,True,False
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,3008.2,1001,66.23,4.6972,29.94,0.29,5.2287,30.08,True,False
exness,NO_GOVERNANCE,-10341.53,5266,36.14,0.6096,2084.84,20.71,-6.1441,-103.42,False,True
exness,SPRINT_9_9_3_2_PROP_FIRM_STRICT,3100.15,639,67.45,4.6546,48.09,0.44,8.7286,31.0,True,False
exness,SPRINT_9_9_3_3_RETAIL_SAFE,8238.46,2577,72.91,4.562,98.31,0.8,8.1473,82.38,True,False
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,4945.97,1219,82.77,7.5383,50.3,0.45,10.7484,49.46,True,False
exness,SPRINT_9_9_3_3_INSTITUTIONAL,2883.17,609,68.47,4.91,87.22,0.72,8.6632,28.83,True,False
icmarkets,NO_GOVERNANCE,-10315.02,5275,36.23,0.6123,2117.8,21.03,-6.0983,-103.15,False,True
icmarkets,SPRINT_9_9_3_2_PROP_FIRM_STRICT,7675.72,2701,69.23,4.2791,72.1,0.65,7.8688,76.76,True,False
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,9340.93,3074,70.27,4.2397,98.2,0.79,8.1075,93.41,True,False
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,7751.39,2770,69.79,4.5899,75.21,0.67,8.1222,77.51,True,False
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,6453.33,2490,69.2,4.2765,87.78,0.73,7.439,64.53,True,False
fundednext,NO_GOVERNANCE,-2797.1,1725,40.99,0.7572,1740.02,17.4,-3.483,-27.97,False,True
fundednext,SPRINT_9_9_3_2_PROP_FIRM_STRICT,4176.18,912,69.85,5.6388,72.71,0.65,10.2184,41.76,True,False
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,5145.01,1030,69.42,5.0423,98.44,0.79,9.8672,51.45,True,False
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,4055.08,936,68.91,5.546,75.85,0.68,9.9217,40.55,True,False
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,3457.03,857,66.74,4.6545,87.88,0.73,8.8425,34.57,True,False
fbs,NO_GOVERNANCE,-10232.7,5057,36.31,0.6014,2127.71,21.13,-6.298,-102.33,False,True
fbs,SPRINT_9_9_3_2_PROP_FIRM_STRICT,6966.64,2513,69.08,4.091,75.92,0.68,7.5834,69.67,True,False
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,8674.2,2915,69.74,4.1747,98.44,0.79,8.0388,86.74,True,False
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,7093.42,2596,69.22,4.3152,79.05,0.71,7.8018,70.93,True,False
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,3884.26,2301,69.06,3.8753,46.23,0.41,7.4343,38.84,True,False
